comments,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,title_0,title_1,title_2,title_3,title_4
-0.010673583,-0.014592572,-0.00032650644,-0.0039178394,-0.00065716123,-0.0031483064,-0.0047019506,-0.0069357045,-8.07914e-06,0.0005507847,-0.0019477447,0.00050410914,0.0035362353,-0.00049556093
0.0058814487,0.0064523784,-0.008188054,0.0036217766,0.001152277,0.0075614,-0.0050860355,-0.003661641,-0.0054430757,0.0063329255,-0.0059632193,-0.0040115104,-0.0032182836,-0.00031342538
-0.0025091427,-0.001390533,0.0047930614,-0.00036283952,0.012205424,-0.0001761327,0.013052929,-0.004741535,-0.0046486603,0.009380648,-0.004291739,0.005897055,0.012735616,0.0036618346
0.009868851,0.0060582585,-0.004865175,0.0027091512,-0.008629634,0.008964809,-0.0018740807,0.004143482,-0.0033570712,-0.0039338586,0.004490578,-0.0057930415,0.003941797,-0.0033444033
0.007126403,-0.005044285,-0.013074498,0.00029066697,0.0026963097,0.0057521206,-0.012933047,-0.0076212985,-0.0120316185,0.0021775865,-0.0043504452,-0.0006906029,-0.0053839614,-0.0007549153
0.005070622,-0.0017957421,-0.0111883655,0.0017838522,-0.00089309434,-0.0109993275,-0.0042823157,0.0026955719,-0.008409798,-0.006707785,-0.003145448,-0.0012438415,-0.003296657,0.002047142
-0.008470649,-0.0032257678,0.009692026,0.0012381928,0.002776497,-0.005912216,-0.0028099604,0.0029667479,0.0012283775,-0.005607132,0.010024933,-0.0035005575,0.0061981967,-0.0045437524
0.005285862,-0.012589518,-0.011357094,0.0004276902,0.0045069167,-0.009624233,-0.00039404118,-0.00097110023,-0.007326413,-0.006821023,-0.00912724,-0.00012182454,-0.012521346,-0.0026697938
0.010750531,0.0012860297,0.002057066,-0.0010564289,-0.004177424,-0.0032033715,0.00595302,-0.0082955025,-0.00077204633,0.0048405067,0.0009751943,0.0032325112,-0.0059106187,0.0027619975
0.007419025,-0.0022015474,-0.0021654887,0.0048207208,0.008928848,0.008696718,-0.009410679,0.008954711,0.0015398636,0.004414224,8.6884895e-05,-0.0016335327,-0.007800348,-0.0014358928
-0.008402739,-0.00090630894,-0.00579323,-0.0017390413,-0.000909339,0.0032673094,0.0024330285,0.002563376,-6.32041e-05,0.0016888008,-0.0011118472,0.0057511055,-0.0025337986,0.004262819
-0.0122280605,0.0077957935,0.005065011,0.00447505,0.004538672,-0.0016926113,0.006454499,0.010921574,0.010281063,-0.004399332,0.00019483756,-0.0007365194,0.00091533345,0.0020233418
-0.0126573825,-0.00019302795,0.008260304,-0.001274944,-0.0056861183,-0.01033348,0.0012068538,0.0049373773,0.00787789,-0.0010434455,-0.0043454496,-0.0040628714,0.006197559,-0.004818797
0.008395875,0.006800838,-4.730331e-05,0.0019378022,-0.005634445,0.012167828,-0.007221579,0.002867832,-0.0014532843,-0.0037756811,0.0007673076,-0.00221859,0.0055256137,0.0009275693
0.011097271,0.0055108173,0.010002341,0.0064729494,0.001763715,0.0004586692,-0.0005214961,-0.0009285759,-0.002988124,0.00048414496,0.0031831004,-0.0051133833,0.008174799,-0.00055328995
0.0061011845,0.00079036766,0.0073882854,-0.007692969,0.0004924763,-0.011348019,0.0049667396,0.0033173903,-0.0013648142,0.005772487,-0.0063375277,-0.0040599457,-0.001410257,-0.0008572142
