word2vec_0,word2vec_1,word2vec_2,word2vec_3,word2vec_4,word2vec_5,word2vec_6,word2vec_7,word2vec_8,word2vec_9,word2vec_10,word2vec_11,word2vec_12,word2vec_13,word2vec_14,word2vec_15,word2vec_16,word2vec_17,word2vec_18,word2vec_19,word2vec_20,word2vec_21,word2vec_22,word2vec_23,word2vec_24,word2vec_25,word2vec_26,word2vec_27,word2vec_28,word2vec_29,word2vec_30,word2vec_31,word2vec_32,word2vec_33,word2vec_34,word2vec_35,word2vec_36,word2vec_37,word2vec_38,word2vec_39,word2vec_40,word2vec_41,word2vec_42,word2vec_43,word2vec_44,word2vec_45,word2vec_46,word2vec_47,word2vec_48,word2vec_49
-0.002480402,-0.0024722803,-0.008530482,-0.0015165494,-0.0048819818,0.0015041044,-0.0053932434,-0.0087833,0.00349343,-0.006296262,-0.004017131,-0.0037469326,0.0064600105,0.003955668,0.004281845,-0.007203606,-0.008144019,-0.0056807348,-0.004758247,-0.0075217006,0.0038617444,0.0081226425,0.001681878,-0.0034422732,0.006464259,0.006289186,0.0059811496,-0.007015643,0.0013386427,-0.00803045,-0.0038405613,-0.0026647851,0.010860162,0.0036812576,0.0066607674,0.0031821148,-0.008388827,0.0076039117,0.0007291723,0.008965724,0.0051786336,0.004605655,-0.006899255,0.0012361093,-0.00822169,-0.0027562426,0.0057110945,0.0030097729,-0.005399681,-0.0052197855
0.0036566076,0.0031223597,-0.008418083,-0.0062470823,-0.0048588286,-0.0024481316,-0.009947163,0.0039028649,0.0011914384,0.00447505,-0.0057403813,-0.0037738825,-0.00945602,-0.005729786,0.008703207,0.010130641,-0.008354648,0.0013568898,0.000738515,-0.003490321,-0.00782269,-0.00043975853,0.008611333,-0.0020199146,-0.00284489,-0.0009396332,-0.00078554114,-0.0010399732,-0.0041392697,-0.00049924373,0.00078297453,-0.010206526,0.0054266774,0.0058230795,-0.0047258856,0.004360231,-0.009213129,0.0006841206,0.0002686749,0.006982702,0.009280343,-0.0011069619,-0.0011381004,-0.008167573,0.0077011385,-0.0062162783,0.003510809,0.0007984851,-0.007588679,0.0024381564
0.005310036,-0.0059415083,0.0075084306,0.006245077,0.009570756,-0.008828774,-0.0015536553,0.0026452106,0.0061205802,-0.007578048,-0.011263631,-0.010914967,-0.0038330886,-0.0064878734,0.009272497,-0.012722974,0.0064008674,0.0061709066,0.0039138636,0.0009532429,0.00017305442,-0.006570457,0.007849326,-0.0016546877,-0.0055906926,0.004171276,0.0069872946,0.0017525525,-0.0031443676,-0.010331773,0.0011637154,-0.0022585618,-0.004965919,0.009485527,0.0060410555,-0.008455805,-0.0012518438,-0.006866609,-0.007964034,0.0040739593,-0.0020700616,-0.00684841,-0.0026391482,-0.0025599194,-0.00091863924,0.0013879172,-0.0075794063,-0.0043319087,-0.0024995427,-0.0070767365
0.0051777842,-0.008372405,-0.001554481,0.010163346,-0.0038111578,0.0072977333,-0.0074576247,0.008163854,-0.0042876974,-0.0025197251,0.0066194264,-0.00062636327,0.002216185,0.010200632,0.0019199948,0.003992195,0.006273433,-0.00077313045,-0.0012535383,-0.0026844717,0.0092252875,-0.005174685,-0.00906908,-0.0032159702,-0.005509701,-0.000428319,0.0014245404,-0.0073287976,-0.007052544,0.0027138726,0.00762927,-0.0014411928,-0.0016857863,0.0044793487,-0.007008272,0.0069587324,-0.0072111315,-0.0069651883,-0.0006093067,-0.010128661,0.0077830837,-0.0010668742,-0.0028088533,-0.0012739915,0.006042283,0.0054515027,-0.0009598634,0.0030839376,0.004622597,-0.008705063
-0.0055849454,0.006461103,-0.00042386117,0.0006675765,0.0064286618,0.002145949,-0.0036132946,-0.00834676,0.007479163,-0.001894735,0.0018020318,0.0012595818,-0.007234449,0.0071944944,-0.003951855,0.0056741396,-0.006741655,0.0028349624,0.0049653584,0.00842801,0.0033527578,-0.005153368,0.0032912437,0.004168411,0.002633625,-0.0072435285,0.0058674794,0.0012773459,0.0027234235,0.009220584,0.0005148703,-0.008071509,-0.003418829,0.0027713254,-0.008564417,0.005342606,0.011496467,0.011222579,-0.007985281,-0.0069967876,0.0003997896,0.0069605447,-0.0072385836,0.0029442601,-0.0006971847,0.000637262,-0.0067434027,-0.005375023,0.010905364,0.0026454676
0.0014129038,-0.009616979,0.010327642,-0.007713655,-0.006326064,-0.0011212396,0.009628915,0.00092275377,0.0013688379,-0.0067932843,0.004652355,0.004936941,0.0012841204,0.0007053793,0.009200562,-0.004969511,0.00032597047,-0.0073874663,0.0027853649,-0.009443851,0.0021412226,0.00077887345,0.0020283973,0.0026432497,0.003476402,0.006095954,-0.0025646307,-0.009132412,0.0060711666,-0.009246218,-0.0033807086,0.008708676,-0.005148625,-0.005334747,0.006698386,-0.003498329,0.0035538503,0.0051314817,-0.01033153,0.0067975814,0.0003961103,0.0029163314,-0.00924635,0.0046858164,0.0028585193,0.008403643,0.0008351882,0.008865763,-0.0040824977,-0.003528246
0.0016583626,0.0013527112,0.006171102,0.011175944,-0.001787629,-0.0012367263,-0.0015230625,0.0033739049,0.006163591,0.0055403053,-8.5929496e-05,-0.008900401,0.011552048,-0.003876409,0.0070985425,0.005411363,0.0074809114,-0.008274382,0.0068001025,0.0013289286,0.0044999877,-0.008397333,0.007201183,0.004667479,0.009065285,0.0057129813,0.0008103542,0.005986361,-0.0063402676,0.0018799038,-0.0024414381,-0.0011653923,0.004612842,0.0021570711,0.006107523,0.002060734,-0.0055019194,-0.005676072,-0.0013591391,-0.009799168,-0.0036379048,0.00285932,-0.0048578815,0.00019020641,0.0018173727,0.0030086578,-0.0027894478,-0.00048511356,-0.0029763891,-0.005390344
-0.008940442,0.008798139,0.009232702,-0.006181608,0.00020339174,0.0043385117,-0.009185,0.005282784,0.009130107,-0.008940947,-0.006432046,-0.0065216315,-0.0008549864,0.0044710874,-0.0029695798,-0.002096593,-0.00049531035,-0.009794326,0.0070386524,-4.5296318e-05,-0.0067809885,-0.008569981,-0.000105099665,0.0010982424,0.004216694,0.0015097368,0.004720845,0.0025351904,-0.0076035126,0.0003824781,-0.0066041937,-0.0023345004,-0.010548118,-0.0053002466,-0.008533219,0.01239756,0.0046139834,-0.010042449,-0.008905599,0.0033052643,-0.0031730812,0.009107654,-0.0008597631,-0.0009855897,0.009678288,-0.0063011106,0.0058168573,0.0042743427,0.0024927326,-0.00045574404
0.010027641,-0.0021497295,-0.0059570377,-0.0016205807,0.0018604413,-0.0060749114,0.0030493462,0.0083435485,-0.009456816,-0.010558295,-0.0026289544,-0.0025292963,0.0017675236,0.0081872,-0.0041078944,0.0087059615,0.0068677063,-0.0039050123,0.001332889,0.009953044,-0.0077342233,0.0054174033,-0.000504949,-0.0054674232,0.006381405,-0.00054320233,0.0001817424,0.0014586222,0.0076421616,-0.0023219394,0.0066985395,0.0021510525,-0.0073873657,0.0055027376,-0.005045323,-0.0046729906,0.0008144708,3.357573e-05,-0.0032526685,-0.009193728,0.006345667,-0.0045877183,-0.00045594346,-0.009855562,-0.004628927,-0.008360468,0.0019267605,0.00890023,0.004471859,0.005626467
0.008088723,0.009265719,0.0044912375,0.0066068023,-0.010091086,-0.006041081,-0.006262693,0.0039138524,0.008670711,-0.0058865654,0.010513467,0.008370024,-0.0005667027,0.0003681091,0.0015876226,0.00050263084,0.008851232,0.008213789,0.008004269,0.0019162587,-0.0039316704,-0.0009991787,0.01021385,0.002031658,0.0031834051,0.0109639,-2.9717954e-05,-0.003838257,-0.0052364687,0.0016140232,0.0043851947,0.0070135607,0.00541042,0.0032063501,0.009293541,0.009087362,0.0065271566,-0.007911625,-0.0065130554,0.0061533414,0.0019680688,-0.0042860797,0.0038378267,-0.0023328532,-0.0017008891,0.007776,-0.0005334219,0.008157519,0.0039659343,-0.009205691
